X,Media_Movel
44.73,17.966368275811348
44.727,17.967173630577918
44.724,17.967996891703415
44.721,17.968837699235873
44.718,17.96969568760598
44.715,17.97057048587267
44.712,17.971461717971273
44.71,17.972369002964026
44.706,17.973291955292797
44.703,17.974230185033775
44.701,17.975183298154008
44.698,17.976150896769525
44.694,17.977132579404948
44.691,17.97812794125431
44.688,17.979136574442933
44.686,17.980158068290187
44.683,17.98119200957292
44.68,17.982237982789368
44.677,17.983295570423362
44.674,17.98436435320865
44.671,17.985443910393123
44.668,17.98653382000276
44.665,17.987633659105143
44.662,17.988743004072298
44.659,17.98986143084268
44.656,17.990988515182217
44.653,17.992123832944053
44.65,17.99326696032696
44.647,17.994417474132195
44.644,17.99557495201856
44.641,17.996738972755576
44.638,17.997909116474567
44.635,17.99908496491743
44.632,18.000266101683014
44.629,18.00145211247084
44.626,18.00264258532208
44.623,18.00383711085757
44.62,18.005035282512758
44.617,18.00623669676935
44.614,18.007440953383558
44.611,18.008647655610815
44.608,18.009856410426714
44.605,18.011066828744138
44.602,18.012278525626378
44.599,18.01349112049611
44.596,18.014704237340073
44.593,18.015917504909385
44.59,18.017130556915305
44.588,18.018343032220322
44.584,18.019554575024515
44.581,18.02076483504697
44.579,18.02197346770223
44.576,18.023180134271644
44.572,18.024384502069452
44.569,18.025586244603616
44.567,18.026785041731237
44.564,18.027980579808453
44.56,18.029172551834776
44.558,18.03036065759178
44.555,18.031544603776023
44.552,18.032724104126213
44.548,18.033898879544438
44.545,18.03506865821153
44.543,18.036233175696378
44.54,18.03739217505925
44.536,18.038545406948984
44.534,18.039692629694066
44.531,18.040833609387548
44.528,18.04196811996574
44.525,18.0430959432807
44.522,18.044216869166437
44.519,18.045330695498873
44.516,18.046437228249523
44.513,18.047536281532864
44.51,18.048627677647413
44.507,18.049711247110537
44.504,18.050786828686945
44.501,18.051854269410935
44.498,18.052913424602366
44.495,18.05396415787639
44.492,18.055006341147
44.489,18.056039854624373
44.486,18.057064586806078
44.483,18.058080434462184
44.48,18.05908730261431
44.477,18.060085104508648
44.474,18.06107376158306
44.471,18.06205320342826
44.468,18.06302336774315
44.465,18.063984200284406
44.462,18.06493565481038
44.459,18.06587769301933
44.456,18.066810284482177
44.453,18.067733406569733
44.45,18.06864704437462
44.447,18.069551190627873
44.444,18.070445845610354
44.441,18.071331017059123
44.438,18.072206720068767
44.435,18.07307297698791
44.432,18.07392981731089
44.429,18.074777277564863
44.426,18.075615401192273
44.423,18.076444238428994
44.42,18.077263846178102
44.417,18.078074287879502
44.415,18.078875633375517
44.412,18.079667958772546
44.409,18.080451346298936
44.405,18.08122588415923
44.402,18.081991666384877
44.4,18.082748792681578
44.397,18.083497368273413
44.394,18.084237503743893
44.39,18.08496931487402
44.387,18.08569292247762
44.385,18.086408452234004
44.382,18.087116034518115
44.379,18.087815804228377
44.376,18.088507900612317
44.373,18.089192467090182
44.37,18.089869651076654
44.367,18.09053960380085
44.364,18.091202480124746
44.361,18.091858438360234
44.357,18.092507640084843
44.355,18.09315024995644
44.352,18.093786435526958
44.349,18.09441636705534
44.346,18.095040217319887
44.343,18.09565816143011
44.34,18.096270376638298
44.337,18.096877042150915
44.334,18.097478338940025
44.331,18.098074449554844
44.328,18.09866555793365
44.325,18.09925184921611
44.322,18.099833509556277
44.319,18.100410725936324
44.316,18.10098368598121
44.313,18.101552577774417
44.31,18.1021175896749
44.307,18.102678910135403
44.304,18.103236727522265
44.301,18.103791229936903
44.298,18.10434260503903
44.295,18.10489103987185
44.292,18.105436720689255
44.289,18.105979832785273
44.286,18.106520560325762
44.283,18.107059086182623
44.28,18.107595591770526
44.277,18.108130256886366
44.274,18.108663259551516
44.271,18.109194775857013
44.268,18.10972497981179
44.265,18.11025404319404
44.262,18.110782135405877
44.259,18.111309423331335
44.256,18.11183607119781
44.253,18.11236224044113
44.25,18.112888089574202
44.247,18.113413774059453
44.244,18.1139394461851
44.241,18.114465254945305
44.238,18.114991345924352
44.235,18.115517861184877
44.232,18.116044939160243
44.229,18.116572714551136
44.226,18.11710131822641
44.223,18.117630877128278
44.22,18.118161514181885
44.217,18.11869334820932
44.214,18.11922649384814
44.211,18.11976106147439
44.208,18.12029715713021
44.205,18.120834882456055
44.202,18.121374334627546
44.199,18.121915606297
44.196,18.122458785539635
44.193,18.123003955804474
44.19,18.123551195870025
44.187,18.124100579804633
44.184,18.124652176931612
44.181,18.12520605179911
44.179,18.12576226415473
44.175,18.12632086892487
44.172,18.126881916198805
44.169,18.127445451217486
44.167,18.12801151436703
44.164,18.128580141176887
44.16,18.129151362322666
44.157,18.12972520363359
44.154,18.130301686104495
44.152,18.13088082591245
44.148,18.131462634437824
44.146,18.132047118289876
44.142,18.132634279336706
44.139,18.13322411473962
44.136,18.133816616991787
44.134,18.134411773961144
44.131,18.135009568937488
44.127,18.13560998068373
44.124,18.13621298349114
44.121,18.136818547238644
44.118,18.137426637455963
44.115,18.138037215390646
44.112,18.1386502380788
44.109,18.1392656584195
44.106,18.139883425252805
44.103,18.1405034834412
44.1,18.141125773954496
44.097,18.14175023395798
44.094,18.14237679690379
44.091,18.143005392625398
44.088,18.143635947435076
44.085,18.144268384224254
44.082,18.14490262256668
44.079,18.14553857882425
44.076,18.146176166255415
44.073,18.146815295126036
44.07,18.147455872822587
44.067,18.148097803967577
44.064,18.148740990537096
44.061,18.14938533198034
44.058,18.150030725341015
44.055,18.15067706538049
44.052,18.15132424470258
44.049,18.151972153879836
44.046,18.15262068158122
44.043,18.15326971470103
44.04,18.15391913848897
44.037,18.154568836681232
44.034,18.155218691632438
44.031,18.15586858444837
44.028,18.156518395119306
44.025,18.157168002653872
44.022,18.157817285213273
44.019,18.158466120245777
44.016,18.159114384621304
44.013,18.15976195476608
44.01,18.160408706797067
44.007,18.161054516656243
44.004,18.161699260244454
44.001,18.1623428135548
43.998,18.16298505280539
43.995,18.16362585457135
43.992,18.164265095916033
43.989,18.16490265452118
43.986,18.165538408816033
43.983,18.166172238105254
43.98,18.166804022695487
43.977,18.167433644020512
43.974,18.168060984764846
43.971,18.16868592898572
43.968,18.16930836223325
43.965,18.16992817166877
43.962,18.170545246181213
43.959,18.171159476501412
43.956,18.171770755314217
43.953,18.172378977368382
